Sales,Trend,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Consumer,lag_Comsumer,Trade,lag_Trade
7567,2,0,1,0,0,0,0,0,0,0,0,0,73,360,383,686
8815,3,0,0,1,0,0,0,0,0,0,0,0,647,73,389,383
10306,4,0,0,0,1,0,0,0,0,0,0,0,574,647,402,389
8347,5,0,0,0,0,1,0,0,0,0,0,0,652,574,237,402
10453,6,0,0,0,0,0,1,0,0,0,0,0,911,652,643,237
7186,7,0,0,0,0,0,0,1,0,0,0,0,43,911,582,643
7116,8,0,0,0,0,0,0,0,1,0,0,0,197,43,337,582
10240,9,0,0,0,0,0,0,0,0,1,0,0,45,197,1562,337
7914,10,0,0,0,0,0,0,0,0,0,1,0,0,45,1459,1562
6762,11,0,0,0,0,0,0,0,0,0,0,1,0,0,451,1459
3994,12,0,0,0,0,0,0,0,0,0,0,0,0,0,115,451
15106,13,1,0,0,0,0,0,0,0,0,0,0,2634,0,0,115
6323,14,0,1,0,0,0,0,0,0,0,0,0,254,2634,472,0
9344,15,0,0,1,0,0,0,0,0,0,0,0,0,254,1055,472
9036,16,0,0,0,1,0,0,0,0,0,0,0,133,0,300,1055
10667,17,0,0,0,0,1,0,0,0,0,0,0,106,133,718,300
9287,18,0,0,0,0,0,1,0,0,0,0,0,0,106,685,718
9943,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1064,685
6083,20,0,0,0,0,0,0,0,1,0,0,0,0,0,68,1064
11626,21,0,0,0,0,0,0,0,0,1,0,0,1806,0,39,68
7346,22,0,0,0,0,0,0,0,0,0,1,0,589,1806,166,39
7569,23,0,0,0,0,0,0,0,0,0,0,1,73,589,401,166
4387,24,0,0,0,0,0,0,0,0,0,0,0,28,73,532,401
15737,25,1,0,0,0,0,0,0,0,0,0,0,2615,28,996,532
6492,26,0,1,0,0,0,0,0,0,0,0,0,211,2615,804,996
8762,27,0,0,1,0,0,0,0,0,0,0,0,27,211,825,804
7515,28,0,0,0,1,0,0,0,0,0,0,0,48,27,226,825
12678,29,0,0,0,0,1,0,0,0,0,0,0,0,48,870,226
9117,30,0,0,0,0,0,1,0,0,0,0,0,67,0,652,870
11330,31,0,0,0,0,0,0,1,0,0,0,0,484,67,540,652
6108,32,0,0,0,0,0,0,0,1,0,0,0,385,484,147,540
13233,33,0,0,0,0,0,0,0,0,1,0,0,1613,385,47,147
8061,34,0,0,0,0,0,0,0,0,0,1,0,441,1613,222,47
7690,35,0,0,0,0,0,0,0,0,0,0,1,48,441,441,222
6645,36,0,0,0,0,0,0,0,0,0,0,0,516,48,244,441
10922,37,1,0,0,0,0,0,0,0,0,0,0,1438,516,52,244
5942,38,0,1,0,0,0,0,0,0,0,0,0,101,1438,35,52
14934,39,0,0,1,0,0,0,0,0,0,0,0,0,101,6754,35
10303,40,0,0,0,1,0,0,0,0,0,0,0,63,0,752,6754
10876,41,0,0,0,0,1,0,0,0,0,0,0,1601,63,0,752
7682,42,0,0,0,0,0,1,0,0,0,0,0,854,1601,0,0
10843,43,0,0,0,0,0,0,1,0,0,0,0,1514,854,68,0
5986,44,0,0,0,0,0,0,0,1,0,0,0,385,1514,137,68
17869,45,0,0,0,0,0,0,0,0,1,0,0,29,385,7305,137
10108,46,0,0,0,0,0,0,0,0,0,1,0,174,29,565,7305
9539,47,0,0,0,0,0,0,0,0,0,0,1,1125,174,566,565
6456,48,0,0,0,0,0,0,0,0,0,0,0,344,1125,829,566
